algo1,algo2,method,gamma_pref,treatment_percentage,TUR_algo_1,TUR_algo_2,TE,Percentage_TE
Ideal,Random,Cluster,1.0,0.76,[0.99936427 0.99607726 1.        ],[0.47241416 0.46145384 0.48407105],[5.26950100e-01 5.15076720e-01 5.37777780e-01 3.35366856e-05],[5.27284196e-01 5.15607967e-01 5.37900002e-01 3.38619167e-05]
Ideal,User,Cluster,1.0,0.78,[0.99938826 0.99646465 1.        ],[0.30092276 0.11188031 0.56932018],[0.69846549 0.43067982 0.8862608  0.013507  ],[0.69893513 0.43067982 0.88802572 0.01642296]
Random,Item,Cluster,1.0,0.83,[0.47163039 0.44700292 0.4957265 ],[0.47326183 0.39753465 0.53877993],[-0.00163144 -0.07227155  0.08003333  0.00150958],[-0.00424641 -0.15509682  0.16852533  0.00698224]
Random,Ideal,Cluster,1.0,0.78,[0.47211572 0.44655423 0.49583946],[0.99940703 0.99866653 1.        ],[-5.27291300e-01 -5.53169190e-01 -5.03547280e-01  1.60241433e-04],[-1.11838591 -1.23875551 -1.01560976  0.00324977]
Random,User,Cluster,1.0,0.78,[0.472194   0.44646316 0.49734949],[0.1055393  0.07661362 0.1551472 ],[0.3666547  0.30731672 0.40777307 0.00065672],[0.77626757 0.6640564  0.8401877  0.00190693]
User,Ideal,Cluster,1.0,0.82,[0.81935859 0.54574811 0.95557292],[0.99942155 0.99868421 1.        ],[-0.18006296 -0.45381358 -0.04386864  0.01093651],[-0.24541949 -0.83154578 -0.04590822  0.0466834 ]
User,Random,Cluster,1.0,0.79,[0.18017843 0.10932122 0.28891304],[0.47243354 0.46212985 0.4833435 ],[-0.29225512 -0.36630397 -0.18484028  0.00214293],[-1.79876332 -3.33994788 -0.640494    0.49708396]
User,Item,Cluster,1.0,0.81,[0.36583585 0.21698529 0.5222549 ],[0.43939511 0.36038194 0.50343621],[-0.07355926 -0.24000947  0.07880569  0.00661463],[-0.25615048 -1.06277553  0.15311655  0.08816427]
Item,Ideal,User-corpus,1.0,0.8,[0.15831095 0.11410213 0.19893333],[0.99541011 0.99364967 0.99695695],[-8.37099160e-01 -8.81721820e-01 -7.97503704e-01  5.99241905e-04],[-5.45758541 -7.85356485 -4.02799151  1.29127532]
Item,Random,User-corpus,1.0,0.8,[0.14924555 0.11578935 0.20622081],[0.46004108 0.4508287  0.47000848],[-0.31079553 -0.33883569 -0.25727496  0.000702  ],[-2.17825566 -2.92783021 -1.26924854  0.27039512]
Item,User,User-corpus,1.0,0.8,[0.15622204 0.12088288 0.19228189],[0.10691421 0.06657782 0.14630062],[ 0.04930783 -0.01996591  0.08936296  0.00138631],[ 0.29344391 -0.1711505   0.57177069  0.05551739]
Ideal,Item,User-corpus,1.0,0.8,[0.85447115 0.77297454 0.90809626],[0.39208074 0.31852283 0.44955333],[0.46239042 0.37974382 0.54691877 0.00243874],[0.54056786 0.48090355 0.62663659 0.00188935]
Ideal,Random,User-corpus,1.0,0.8,[0.84963417 0.76594444 0.90995883],[0.45819874 0.45128513 0.46779287],[0.39143542 0.30483987 0.45290977 0.00244054],[0.45883997 0.39797443 0.49772065 0.00112106]
Ideal,User,User-corpus,1.0,0.8,[0.84097663 0.77614583 0.91046275],[0.09299865 0.06935867 0.14532204],[0.74797799 0.69093948 0.82220262 0.00175324],[8.89596176e-01 8.38355661e-01 9.21954626e-01 6.86207967e-04]
Random,Item,User-corpus,1.0,0.8,[0.30978211 0.28857323 0.33720411],[0.40894162 0.35741052 0.4488125 ],[-0.0991595  -0.14919083 -0.04082877  0.00127157],[-0.32380368 -0.498647   -0.12759675  0.01509034]
Random,Ideal,User-corpus,1.0,0.8,[0.3152112  0.28931691 0.32926731],[0.99628001 0.99441231 0.99738701],[-6.81068817e-01 -7.08070105e-01 -6.65144998e-01  1.88346110e-04],[-2.16646731 -2.44850807 -2.02008997  0.0194183 ]
Random,User,User-corpus,1.0,0.8,[0.31639504 0.29069717 0.34067747],[0.09427138 0.07125374 0.17041655],[0.22212366 0.13576069 0.2645639  0.00159932],[0.70033251 0.45030836 0.78309872 0.01256437]
User,Ideal,User-corpus,1.0,0.8,[0.05394124 0.02041138 0.09554855],[0.99583514 0.99417748 0.99671826],[-9.41893905e-01 -9.76066341e-01 -9.01034835e-01  4.52988222e-04],[-22.63198815 -60.31776716  -9.72220895 279.03340512]
User,Random,User-corpus,1.0,0.8,[0.05119699 0.02008715 0.10679656],[0.45807387 0.44836253 0.46895597],[-0.40687689 -0.44540764 -0.34306877  0.00095632],[-10.31716902 -22.61664431  -3.63026822  33.81261359]
User,Item,User-corpus,1.0,0.8,[0.05455949 0.01620866 0.09873264],[0.41052155 0.36253803 0.46321886],[-0.35596206 -0.42245241 -0.2989294   0.00162989],[ -9.74713214 -29.30792193  -3.28761024  76.3550617 ]
Item,Ideal,Naive,1.0,0.7,[0.9576692  0.92082176 0.98210185],[0.99944807 0.9987297  1.        ],[-0.04177887 -0.07912563 -0.01734651  0.00024838],[-0.04392765 -0.08592446 -0.01766231  0.00032098]
Item,Random,Naive,1.0,0.7,[0.52668749 0.43677622 0.61934414],[0.47217637 0.45930713 0.4849944 ],[ 0.05451112 -0.0339679   0.14758778  0.0021451 ],[ 0.09664724 -0.07729734  0.23817965  0.00663013]
Item,User,Naive,1.0,0.7,[0.39585613 0.29219817 0.48856061],[0.23327058 0.12238298 0.34704277],[0.16258555 0.05792632 0.28481055 0.00334994],[0.40864688 0.16082691 0.67308669 0.01777255]
