algo1,algo2,method,gamma_pref,treatment_percentage,cluster_shuffle_percentage,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
Random,Ideal,Cluster,1.0,0.41,0.6,[0.47234535 0.4573294  0.48575916 0.04183975],[0.99941508 0.99835391 1.         0.18722158],0.4433499400654238,[-0.52706973 -0.53899897 -0.51520164  0.05216279],[-1.11635386e+00 -1.18412321e+00 -1.05655467e+00  1.05515032e-03]
Random,User,Cluster,1.0,0.49,0.6,[0.47227937 0.45658553 0.48767688 0.04192481],[0.12503566 0.08973889 0.18323647 0.00441485],0.41302858549248933,[0.34724371 0.29641955 0.38290687 0.02289971],[0.73514588 0.61192301 0.81037254 0.00279448]
User,Ideal,Cluster,1.0,0.42,0.6,[0.79101069 0.48929769 0.91681622 0.12470575],[0.99942423 0.99836027 1.         0.18722351],0.451708433484927,[-0.20841353 -0.46470343 -0.0905259   0.0304482 ],[-0.30030442 -1.04231747 -0.09007059  0.06985242]
User,Random,Cluster,1.0,0.54,0.6,[0.12139083 0.08574793 0.1708057  0.00388813],[0.47269789 0.45749947 0.4876861  0.0419971 ],0.41081040618961323,[-0.35130706 -0.38575464 -0.30743525  0.02349906],[-3.0145895  -4.48137983 -1.74689368  0.48634762]
User,Item,Cluster,1.0,0.46,0.6,[0.31921178 0.20870635 0.41929663 0.02424005],[0.41012588 0.32170602 0.49103261 0.03474041],0.48699667758756754,[-0.0909141  -0.18714045 -0.00286141  0.00589167],[-0.31781219 -0.95272273  0.02905014  0.06123858]
Item,Ideal,User-corpus,1.0,0.5,0.6,[0.32933867 0.25368764 0.39449234 0.02238998],[9.85164038e-01 9.77524621e-01 9.91717524e-01 1.25282312e-05],0.0,[-0.65582537 -0.72986322 -0.58920256  0.00120901],[-2.02694122 -2.87509999 -1.49224407  0.11494617]
Item,Random,User-corpus,1.0,0.5,0.6,[0.33182909 0.27112635 0.40044444 0.02306824],[4.22275086e-01 4.05555556e-01 4.39139828e-01 7.32219052e-05],0.0,[-0.09044599 -0.15227271 -0.01651121  0.00119408],[-0.28544405 -0.55319597 -0.03960577  0.01752299]
Item,User,User-corpus,1.0,0.5,0.6,[0.32941186 0.2579078  0.40174873 0.02296664],[0.08313561 0.04102304 0.14531892 0.0007682 ],0.0,[0.24627625 0.14772233 0.33910276 0.0024113 ],[0.74284255 0.52573805 0.88187548 0.00923479]
Ideal,Item,User-corpus,1.0,0.5,0.6,[0.98516067 0.97820076 0.99151592 0.18192426],[0.32786583 0.25842089 0.3980096  0.00125439],0.0,[0.65729485 0.5891     0.72695962 0.00123323],[0.6672085  0.59732408 0.73738596 0.00128273]
Ideal,Random,User-corpus,1.0,0.5,0.6,[0.98497617 0.97800843 0.99133395 0.18185551],[4.22485482e-01 4.04345513e-01 4.40509259e-01 8.22423460e-05],0.0,[5.62490693e-01 5.42616799e-01 5.82904698e-01 1.08211922e-04],[5.71057870e-01 5.52323103e-01 5.90496288e-01 9.31742387e-05]
Ideal,User,User-corpus,1.0,0.5,0.6,[0.98505711 0.97777778 0.99192356 0.18191247],[0.08371239 0.03947439 0.14445122 0.00079572],0.0,[9.01344721e-01 8.39425084e-01 9.45906846e-01 8.02789327e-04],[9.15019498e-01 8.53256171e-01 9.59832283e-01 8.19597571e-04]
Random,Item,User-corpus,1.0,0.5,0.6,[0.4219427  0.40422015 0.43919642 0.03350989],[0.32875843 0.26318946 0.3924887  0.00114762],0.0,[0.09318428 0.02598724 0.16110107 0.00126269],[0.2203974  0.06256036 0.37889935 0.00686973]
Random,Ideal,User-corpus,1.0,0.5,0.6,[0.42219112 0.40453288 0.4390036  0.03352494],[9.84826558e-01 9.77529925e-01 9.91069761e-01 1.20969772e-05],0.0,[-5.62635439e-01 -5.82558767e-01 -5.42581352e-01  1.05863018e-04],[-1.33371893 -1.43962459 -1.23398372  0.00266248]
Random,User,User-corpus,1.0,0.5,0.6,[0.4221731  0.40479499 0.43865043 0.03351394],[0.08632678 0.04268664 0.15695199 0.00086188],0.0,[0.33584632 0.26397407 0.38424204 0.000961  ],[0.79536462 0.62649068 0.89903927 0.00489484]
User,Ideal,User-corpus,1.0,0.5,0.6,[0.08486979 0.04135244 0.14514078 0.00289232],[9.84954133e-01 9.77180754e-01 9.91285403e-01 1.24835885e-05],0.0,[-9.00084348e-01 -9.44401477e-01 -8.40611356e-01  7.72063042e-04],[-11.91070877 -22.83788193  -5.78926733  19.25198459]
User,Random,User-corpus,1.0,0.5,0.6,[0.08572588 0.04311196 0.1473971  0.00296426],[4.22381467e-01 4.04684028e-01 4.40338780e-01 8.24745075e-05],0.0,[-0.33665559 -0.38433225 -0.27144444  0.00088985],[-4.48655983 -8.64492262 -1.85655689  3.44322654]
User,Item,User-corpus,1.0,0.5,0.6,[0.08388261 0.04113164 0.14599722 0.00292037],[0.33113721 0.26120727 0.40490808 0.00127095],0.0,[-0.24725461 -0.34529301 -0.1382883   0.00245117],[-3.43072698 -7.47809375 -1.01587714  2.77577245]
Item,Item,Ref,1.0,0.0,0.2,[0.4522632  0.38357146 0.52200113 0.04080618],[0.45189342 0.37656691 0.52070858 0.04052089],0.0,[ 0.00036978 -0.08235544  0.07451837  0.        ],[-0.00300834 -0.19628647  0.15579351  0.0081475 ]
User,User,Ref,1.0,0.0,0.2,[0.09890271 0.06956845 0.15099601 0.00297662],[0.09824968 0.0700441  0.14087868 0.00262727],0.0,[ 0.00065303 -0.02298073  0.02522869  0.        ],[-0.00172387 -0.25545871  0.21948807  0.01530416]
Random,Random,Ref,1.0,0.0,0.2,[0.47221004 0.45811921 0.48632778 0.04191024],[0.47270137 0.45799799 0.48768301 0.04202283],0.0,[-0.00049132 -0.0211757   0.0223773   0.        ],[-0.00131505 -0.04608157  0.04598976  0.00054949]
Ideal,Ideal,Ref,1.0,0.0,0.2,[0.9994252  0.9984846  1.         0.18723911],[0.99941886 0.99844435 1.         0.1872333 ],0.0,[ 6.33846084e-06 -1.23515024e-03  1.41892103e-03  0.00000000e+00],[ 6.11788997e-06 -1.23667774e-03  1.41892780e-03  4.65922707e-07]
Item,Ideal,Naive,1.0,0.5,0.2,[0.94622947 0.90157946 0.9736463  0.16650761],[0.99945251 0.99844444 1.         0.18723752],0.0,[-0.05322304 -0.0977497  -0.02577171  0.00035894],[-0.05668432 -0.1083655  -0.02646895  0.00047869]
Item,Random,Naive,1.0,0.5,0.2,[0.48692672 0.41623358 0.55760566 0.0469532 ],[0.47230388 0.456275   0.48780944 0.04191923],0.0,[ 0.01462283 -0.05870238  0.08834409  0.00147831],[ 0.02414569 -0.1432253   0.16014823  0.00622149]
Item,User,Naive,1.0,0.5,0.2,[0.41167028 0.32833013 0.48851867 0.0346522 ],[0.32847406 0.22130902 0.43699909 0.02610158],0.0,[ 0.08319622 -0.01650669  0.18669507  0.00269943],[ 0.20052144 -0.03890018  0.43880572  0.01504155]
Ideal,Item,Naive,1.0,0.5,0.2,[0.99940898 0.99834515 1.         0.18721972],[0.94607181 0.89898827 0.97246377 0.16607685],0.0,[0.05333717 0.02713556 0.1004921  0.00032365],[0.05336801 0.0271529  0.10054943 0.00032394]
Ideal,Random,Naive,1.0,0.5,0.2,[0.99941817 0.99838339 1.         0.18722563],[0.47218899 0.4571751  0.48752848 0.04193985],0.0,[5.27229176e-01 5.12035027e-01 5.42345768e-01 5.64507091e-05],[5.27536007e-01 5.12256063e-01 5.42516444e-01 5.63546249e-05]
Ideal,User,Naive,1.0,0.5,0.2,[0.99945523 0.99844948 1.         0.18723849],[0.81111898 0.54356144 0.9242209  0.12730238],0.0,[0.18833625 0.07549599 0.45552088 0.00882189],[0.18844135 0.07553697 0.45593929 0.00883404]
Random,Item,Naive,1.0,0.5,0.2,[0.47245103 0.45832265 0.48744183 0.04200884],[0.48762244 0.41716423 0.55963126 0.0472147 ],0.0,[-0.01517141 -0.09053016  0.05815831  0.00137989],[-0.03244037 -0.19555593  0.12201436  0.0062192 ]
Random,Ideal,Naive,1.0,0.5,0.2,[0.47229979 0.45710594 0.48621444 0.04185557],[0.99942041 0.99837949 1.         0.18722543],0.0,[-5.27120624e-01 -5.42292981e-01 -5.13456197e-01  6.06195225e-05],[-1.11664613 -1.18701089 -1.05595826  0.00122147]
Random,User,Naive,1.0,0.5,0.2,[0.47264671 0.45752865 0.48774404 0.04199944],[0.12034272 0.08769854 0.17850324 0.00417066],0.0,[0.35230398 0.2947014  0.38736509 0.00054762],[0.74536516 0.62580112 0.81579016 0.00227755]
User,Ideal,Naive,1.0,0.5,0.2,[0.81706939 0.55957056 0.93356532 0.12950093],[0.99940446 0.99837963 1.         0.18722345],0.0,[-0.18233507 -0.43912038 -0.0662166   0.00934028],[-0.24595247 -0.78474534 -0.07092873  0.04049165]
User,Random,Naive,1.0,0.5,0.2,[0.12074685 0.08577705 0.17756165 0.0041463 ],[0.4722172  0.45798424 0.48683441 0.04193719],0.0,[-0.35147035 -0.39056203 -0.29128611  0.00061918],[-3.04618615 -4.53376938 -1.65890611  0.53425049]
User,Item,Naive,1.0,0.5,0.2,[0.32756457 0.21539464 0.44168009 0.02659902],[0.4124702  0.33095121 0.49087609 0.03493678],0.0,[-0.08490563 -0.18895208  0.01620602  0.00277973],[-0.29030574 -0.79629075  0.04071511  0.04843584]
Item,Ideal,Split,1.0,0.5,0.2,[0.36513136 0.27306973 0.44883987 0.02848268],[9.99422068e-01 9.98444444e-01 1.00000000e+00 1.84282005e-07],0.0,[-0.63429071 -0.72634823 -0.55001233  0.00195735],[-1.78011149 -2.66116207 -1.22549101  0.13025734]
Item,Random,Split,1.0,0.5,0.2,[0.36739538 0.28030593 0.45464096 0.02911489],[4.72411364e-01 4.56859305e-01 4.88000855e-01 5.78318391e-05],0.0,[-0.10501598 -0.19372972 -0.0153229   0.00207241],[-0.30589075 -0.70116148 -0.03397397  0.02835435]
Item,User,Split,1.0,0.5,0.2,[0.36273702 0.2777551  0.44520158 0.02806195],[0.11592198 0.0653924  0.20208108 0.00129844],0.0,[0.24681505 0.11141559 0.35858214 0.00378402],[0.67322525 0.37765407 0.83480796 0.01389109]
Ideal,Item,Split,1.0,0.5,0.2,[0.99939232 0.99838373 1.         0.18722244],[0.36430091 0.28028848 0.44915123 0.0019044 ],0.0,[0.6350914  0.55040849 0.71906102 0.00190313],[0.63547824 0.55052445 0.71952661 0.00190617]
Ideal,Random,Split,1.0,0.5,0.2,[0.99941311 0.99850427 1.         0.18724005],[4.72077890e-01 4.56943736e-01 4.88022876e-01 5.96657959e-05],0.0,[5.27335220e-01 5.11524276e-01 5.42669148e-01 6.01535396e-05],[5.27644650e-01 5.11750565e-01 5.42931778e-01 5.99187593e-05]
Ideal,User,Split,1.0,0.5,0.2,[0.99944012 0.99853179 1.         0.18724685],[0.11444567 0.06538131 0.19937081 0.00122723],0.0,[0.88499445 0.79998887 0.9341673  0.0012277 ],[0.88549005 0.80050054 0.93458916 0.0012286 ]
Random,Item,Split,1.0,0.5,0.2,[0.47191485 0.45827145 0.48624717 0.04189543],[0.36357165 0.27821995 0.44934817 0.00196892],0.0,[0.10834321 0.01656627 0.192155   0.00201351],[0.2294145  0.03537853 0.40583117 0.00897023]
Random,Ideal,Split,1.0,0.5,0.2,[0.47193697 0.45681748 0.4866712  0.04184953],[9.99426689e-01 9.98444444e-01 1.00000000e+00 1.75909503e-07],0.0,[-5.27489719e-01 -5.42692238e-01 -5.12705451e-01  5.94466510e-05],[-1.11827552 -1.18802104 -1.05310757  0.00119877]
Random,User,Split,1.0,0.5,0.2,[0.47206436 0.45579697 0.48670749 0.04180715],[0.11778886 0.06559524 0.20619065 0.00136914],0.0,[0.35427551 0.26554688 0.40796334 0.00140637],[0.75046807 0.56506452 0.85927527 0.00613379]
User,Ideal,Split,1.0,0.5,0.2,[0.1187687  0.06862473 0.20876911 0.00579093],[9.99404737e-01 9.98411872e-01 1.00000000e+00 1.79601642e-07],0.0,[-0.88063604 -0.92979656 -0.78999437  0.00139637],[ -8.19419893 -13.54914485  -3.78405944   7.06588938]
User,Random,Split,1.0,0.5,0.2,[0.11578079 0.06337405 0.19958861 0.00534886],[4.71977847e-01 4.56916100e-01 4.87150654e-01 5.85722830e-05],0.0,[-0.35619705 -0.41007159 -0.27078658  0.00139777],[-3.46564651 -6.40455378 -1.34262663  1.74381938]
User,Item,Split,1.0,0.5,0.2,[0.11712049 0.06323333 0.20102789 0.00544122],[0.36561755 0.2785     0.44889216 0.00200016],0.0,[-0.24849706 -0.3582575  -0.116       0.00388806],[-2.44295964 -5.11324341 -0.60581428  1.43839053]
Item,Ideal,Cluster,1.0,0.5,0.2,[0.87932286 0.74821625 0.95557588 0.14451019],[0.99942375 0.99830871 1.         0.18721703],0.40484724979818076,[-0.12010089 -0.22900418 -0.05072666  0.00736849],[-0.14174568 -0.33596566 -0.0454226   0.00632454]
Item,Random,Cluster,1.0,0.51,0.2,[0.50811955 0.4165549  0.59469444 0.05206112],[0.47207152 0.45691353 0.4862142  0.04183213],0.35361454713643403,[ 0.03604803 -0.04293848  0.10743047  0.00303935],[ 0.06334069 -0.14834922  0.20926514  0.00775495]
Item,User,Cluster,1.0,0.54,0.2,[0.41899791 0.33030029 0.50206276 0.03631212],[0.29075696 0.1761052  0.40781401 0.02265008],0.4537233429052351,[0.12824095 0.03040505 0.23079265 0.00817996],[0.3020692  0.02394877 0.56785123 0.01949018]
Ideal,Item,Cluster,1.0,0.53,0.2,[0.99940274 0.99818594 1.         0.18719913],[0.88196495 0.74637708 0.95579787 0.14476143],0.4051914965557488,[0.11743778 0.04953061 0.22697528 0.0072412 ],[0.11751006 0.04350683 0.25285375 0.00317934]
Ideal,Random,Cluster,1.0,0.56,0.2,[0.99941679 0.99811321 1.         0.18719184],[0.47207061 0.45648012 0.48611111 0.04180294],0.3787213812871663,[0.52734619 0.51514511 0.54066361 0.05229769],[5.27653145e-01 5.13462152e-01 5.43519880e-01 5.89856817e-05]
Ideal,User,Cluster,1.0,0.45,0.2,[0.99941122 0.99825646 1.         0.18720897],[0.66930769 0.34705761 0.86714539 0.10836494],0.4442835877637699,[0.33010353 0.15313629 0.59513432 0.04897031],[0.33031046 0.13267278 0.65276422 0.01930855]
Random,Item,Cluster,1.0,0.48,0.2,[0.47245139 0.4574431  0.48937726 0.04209288],[0.50856831 0.4018674  0.59757854 0.05217813],0.3479414258238638,[-0.03611692 -0.1136743   0.04929759  0.00353295],[-0.07699283 -0.27143331  0.14008978  0.01090517]
Random,Ideal,Cluster,1.0,0.59,0.2,[0.47244477 0.45861885 0.48736457 0.04201873],[0.99943185 0.9982716  1.         0.18721343],0.37585979061033675,[-0.52698708 -0.53923376 -0.51466433  0.05214208],[-1.11596003e+00 -1.17931328e+00 -1.05055795e+00  1.09019101e-03]
Random,User,Cluster,1.0,0.49,0.2,[0.47206176 0.45631155 0.48671327 0.04183371],[0.12444877 0.08666553 0.18731456 0.00459969],0.376505523810469,[0.34761299 0.29610218 0.38441047 0.02300553],[0.73621136 0.60218509 0.81700122 0.00291768]
User,Ideal,Cluster,1.0,0.5,0.2,[0.65671681 0.37379464 0.86050154 0.10436994],[0.99938815 0.9981086  1.         0.18718769],0.4426106470192807,[-0.34267134 -0.58985812 -0.15721818  0.04829658],[-0.60098425 -1.67193879 -0.16157672  0.17791723]
User,Random,Cluster,1.0,0.53,0.2,[0.12465434 0.08740476 0.18889423 0.00466711],[0.4722523  0.45582582 0.48747572 0.04187096],0.3763470050993343,[-0.34759796 -0.3845075  -0.29321886  0.02295629],[-2.9483746  -4.41601695 -1.47908561  0.59089983]
User,Item,Cluster,1.0,0.5,0.2,[0.29866946 0.19014151 0.4071958  0.02261466],[0.42232456 0.3360325  0.50132898 0.0364761 ],0.4570659576461676,[-0.1236551  -0.22468153 -0.03476487  0.00757232],[-0.46086887 -1.14515886 -0.04213535  0.08988846]
Item,Ideal,User-corpus,1.0,0.5,0.2,[0.32969262 0.26387897 0.39891322 0.02280114],[9.85079995e-01 9.78029777e-01 9.91611395e-01 1.20641817e-05],0.0,[-0.65538737 -0.720839   -0.58736785  0.00118158],[-2.02166064 -2.72832403 -1.475291    0.10548196]
Item,Random,User-corpus,1.0,0.5,0.2,[0.33002267 0.26539592 0.39728294 0.0227049 ],[4.21735776e-01 4.04039394e-01 4.38384387e-01 7.86279908e-05],0.0,[-0.09171311 -0.16186595 -0.020874    0.00130133],[-0.29208514 -0.60611082 -0.05508668  0.01991147]
Item,User,User-corpus,1.0,0.5,0.2,[0.32774037 0.25989885 0.39597959 0.02247113],[0.08610936 0.04199875 0.15666844 0.00083885],0.0,[0.24163101 0.13728341 0.33271919 0.00243   ],[0.73223192 0.47938001 0.87674782 0.01030816]
Ideal,Item,User-corpus,1.0,0.5,0.2,[0.98518327 0.97777282 0.99192027 0.181927  ],[0.32686328 0.26231758 0.38550097 0.00115528],0.0,[0.65831999 0.59837379 0.72327925 0.00114151],[0.66823008 0.60734484 0.73384984 0.00118285]
Ideal,Random,User-corpus,1.0,0.5,0.2,[0.98499566 0.97731431 0.99135995 0.18177819],[4.22633801e-01 4.04911787e-01 4.39623361e-01 7.69049337e-05],0.0,[5.62361858e-01 5.42622327e-01 5.82505787e-01 1.04497342e-04],[5.70914980e-01 5.52720266e-01 5.89651590e-01 8.82004906e-05]
Ideal,User,User-corpus,1.0,0.5,0.2,[0.98500994 0.97777222 0.99145337 0.1818465 ],[0.084414   0.0415282  0.14728132 0.00076878],0.0,[9.00595945e-01 8.38439289e-01 9.43861392e-01 7.79989973e-04],[9.14300834e-01 8.50570047e-01 9.57910955e-01 7.92938213e-04]
Random,Item,User-corpus,1.0,0.5,0.2,[0.42234034 0.40470029 0.43995495 0.03359865],[0.3300043  0.26527113 0.39609118 0.00121409],0.0,[0.09233604 0.02064371 0.16247138 0.00134699],[0.21812402 0.05088074 0.37886298 0.00732817]
Random,Ideal,User-corpus,1.0,0.5,0.2,[0.42207946 0.40377865 0.43888889 0.03347887],[9.85033492e-01 9.78076743e-01 9.91474694e-01 1.16235960e-05],0.0,[-5.62954037e-01 -5.85027469e-01 -5.43189951e-01  1.09347539e-04],[-1.33487961 -1.44805192 -1.2392047   0.00279239]
Random,User,User-corpus,1.0,0.5,0.2,[0.42203362 0.40299968 0.44046442 0.03353973],[0.08436585 0.04165404 0.15134979 0.00077911],0.0,[0.33766777 0.27154382 0.38686792 0.00090682],[0.79988505 0.64613371 0.90391291 0.00444853]
User,Ideal,User-corpus,1.0,0.5,0.2,[0.08458193 0.04244236 0.15010754 0.0030718 ],[9.85015899e-01 9.77976103e-01 9.91839871e-01 1.28019951e-05],0.0,[-9.00433971e-01 -9.43255268e-01 -8.34745830e-01  8.11349949e-04],[-11.99663505 -22.25550811  -5.58114162  19.25407944]
User,Random,User-corpus,1.0,0.5,0.2,[0.08311396 0.04030294 0.14898604 0.00304456],[4.22447235e-01 4.05311878e-01 4.40281472e-01 7.91122827e-05],0.0,[-0.33933328 -0.38658634 -0.26950608  0.0008924 ],[-4.69448407 -9.46022571 -1.8029732   3.86708096]
User,Item,User-corpus,1.0,0.5,0.2,[0.08363033 0.03986638 0.14570988 0.00292417],[0.33066287 0.26439037 0.39728608 0.00117487],0.0,[-0.24703254 -0.33911339 -0.15101863  0.00227171],[-3.46595359 -7.63845523 -1.11771228  3.26942157]
Item,Item,Ref,1.0,0.0,0.3,[0.4522632  0.38357146 0.52200113 0.04080618],[0.45189342 0.37656691 0.52070858 0.04052089],0.0,[ 0.00036978 -0.08235544  0.07451837  0.        ],[-0.00300834 -0.19628647  0.15579351  0.0081475 ]
User,User,Ref,1.0,0.0,0.3,[0.09890271 0.06956845 0.15099601 0.00297662],[0.09824968 0.0700441  0.14087868 0.00262727],0.0,[ 0.00065303 -0.02298073  0.02522869  0.        ],[-0.00172387 -0.25545871  0.21948807  0.01530416]
Random,Random,Ref,1.0,0.0,0.3,[0.47221004 0.45811921 0.48632778 0.04191024],[0.47270137 0.45799799 0.48768301 0.04202283],0.0,[-0.00049132 -0.0211757   0.0223773   0.        ],[-0.00131505 -0.04608157  0.04598976  0.00054949]
Ideal,Ideal,Ref,1.0,0.0,0.3,[0.9994252  0.9984846  1.         0.18723911],[0.99941886 0.99844435 1.         0.1872333 ],0.0,[ 6.33846084e-06 -1.23515024e-03  1.41892103e-03  0.00000000e+00],[ 6.11788997e-06 -1.23667774e-03  1.41892780e-03  4.65922707e-07]
Item,Ideal,Naive,1.0,0.5,0.3,[0.94622947 0.90157946 0.9736463  0.16650761],[0.99945251 0.99844444 1.         0.18723752],0.0,[-0.05322304 -0.0977497  -0.02577171  0.00035894],[-0.05668432 -0.1083655  -0.02646895  0.00047869]
Item,Random,Naive,1.0,0.5,0.3,[0.48692672 0.41623358 0.55760566 0.0469532 ],[0.47230388 0.456275   0.48780944 0.04191923],0.0,[ 0.01462283 -0.05870238  0.08834409  0.00147831],[ 0.02414569 -0.1432253   0.16014823  0.00622149]
Item,User,Naive,1.0,0.5,0.3,[0.41167028 0.32833013 0.48851867 0.0346522 ],[0.32847406 0.22130902 0.43699909 0.02610158],0.0,[ 0.08319622 -0.01650669  0.18669507  0.00269943],[ 0.20052144 -0.03890018  0.43880572  0.01504155]
Ideal,Item,Naive,1.0,0.5,0.3,[0.99940898 0.99834515 1.         0.18721972],[0.94607181 0.89898827 0.97246377 0.16607685],0.0,[0.05333717 0.02713556 0.1004921  0.00032365],[0.05336801 0.0271529  0.10054943 0.00032394]
Ideal,Random,Naive,1.0,0.5,0.3,[0.99941817 0.99838339 1.         0.18722563],[0.47218899 0.4571751  0.48752848 0.04193985],0.0,[5.27229176e-01 5.12035027e-01 5.42345768e-01 5.64507091e-05],[5.27536007e-01 5.12256063e-01 5.42516444e-01 5.63546249e-05]
Ideal,User,Naive,1.0,0.5,0.3,[0.99945523 0.99844948 1.         0.18723849],[0.81111898 0.54356144 0.9242209  0.12730238],0.0,[0.18833625 0.07549599 0.45552088 0.00882189],[0.18844135 0.07553697 0.45593929 0.00883404]
Random,Item,Naive,1.0,0.5,0.3,[0.47245103 0.45832265 0.48744183 0.04200884],[0.48762244 0.41716423 0.55963126 0.0472147 ],0.0,[-0.01517141 -0.09053016  0.05815831  0.00137989],[-0.03244037 -0.19555593  0.12201436  0.0062192 ]
Random,Ideal,Naive,1.0,0.5,0.3,[0.47229979 0.45710594 0.48621444 0.04185557],[0.99942041 0.99837949 1.         0.18722543],0.0,[-5.27120624e-01 -5.42292981e-01 -5.13456197e-01  6.06195225e-05],[-1.11664613 -1.18701089 -1.05595826  0.00122147]
Random,User,Naive,1.0,0.5,0.3,[0.47264671 0.45752865 0.48774404 0.04199944],[0.12034272 0.08769854 0.17850324 0.00417066],0.0,[0.35230398 0.2947014  0.38736509 0.00054762],[0.74536516 0.62580112 0.81579016 0.00227755]
User,Ideal,Naive,1.0,0.5,0.3,[0.81706939 0.55957056 0.93356532 0.12950093],[0.99940446 0.99837963 1.         0.18722345],0.0,[-0.18233507 -0.43912038 -0.0662166   0.00934028],[-0.24595247 -0.78474534 -0.07092873  0.04049165]
User,Random,Naive,1.0,0.5,0.3,[0.12074685 0.08577705 0.17756165 0.0041463 ],[0.4722172  0.45798424 0.48683441 0.04193719],0.0,[-0.35147035 -0.39056203 -0.29128611  0.00061918],[-3.04618615 -4.53376938 -1.65890611  0.53425049]
User,Item,Naive,1.0,0.5,0.3,[0.32756457 0.21539464 0.44168009 0.02659902],[0.4124702  0.33095121 0.49087609 0.03493678],0.0,[-0.08490563 -0.18895208  0.01620602  0.00277973],[-0.29030574 -0.79629075  0.04071511  0.04843584]
Item,Ideal,Split,1.0,0.5,0.3,[0.36513136 0.27306973 0.44883987 0.02848268],[9.99422068e-01 9.98444444e-01 1.00000000e+00 1.84282005e-07],0.0,[-0.63429071 -0.72634823 -0.55001233  0.00195735],[-1.78011149 -2.66116207 -1.22549101  0.13025734]
Item,Random,Split,1.0,0.5,0.3,[0.36739538 0.28030593 0.45464096 0.02911489],[4.72411364e-01 4.56859305e-01 4.88000855e-01 5.78318391e-05],0.0,[-0.10501598 -0.19372972 -0.0153229   0.00207241],[-0.30589075 -0.70116148 -0.03397397  0.02835435]
Item,User,Split,1.0,0.5,0.3,[0.36273702 0.2777551  0.44520158 0.02806195],[0.11592198 0.0653924  0.20208108 0.00129844],0.0,[0.24681505 0.11141559 0.35858214 0.00378402],[0.67322525 0.37765407 0.83480796 0.01389109]
Ideal,Item,Split,1.0,0.5,0.3,[0.99939232 0.99838373 1.         0.18722244],[0.36430091 0.28028848 0.44915123 0.0019044 ],0.0,[0.6350914  0.55040849 0.71906102 0.00190313],[0.63547824 0.55052445 0.71952661 0.00190617]
Ideal,Random,Split,1.0,0.5,0.3,[0.99941311 0.99850427 1.         0.18724005],[4.72077890e-01 4.56943736e-01 4.88022876e-01 5.96657959e-05],0.0,[5.27335220e-01 5.11524276e-01 5.42669148e-01 6.01535396e-05],[5.27644650e-01 5.11750565e-01 5.42931778e-01 5.99187593e-05]
Ideal,User,Split,1.0,0.5,0.3,[0.99944012 0.99853179 1.         0.18724685],[0.11444567 0.06538131 0.19937081 0.00122723],0.0,[0.88499445 0.79998887 0.9341673  0.0012277 ],[0.88549005 0.80050054 0.93458916 0.0012286 ]
Random,Item,Split,1.0,0.5,0.3,[0.47191485 0.45827145 0.48624717 0.04189543],[0.36357165 0.27821995 0.44934817 0.00196892],0.0,[0.10834321 0.01656627 0.192155   0.00201351],[0.2294145  0.03537853 0.40583117 0.00897023]
Random,Ideal,Split,1.0,0.5,0.3,[0.47193697 0.45681748 0.4866712  0.04184953],[9.99426689e-01 9.98444444e-01 1.00000000e+00 1.75909503e-07],0.0,[-5.27489719e-01 -5.42692238e-01 -5.12705451e-01  5.94466510e-05],[-1.11827552 -1.18802104 -1.05310757  0.00119877]
Random,User,Split,1.0,0.5,0.3,[0.47206436 0.45579697 0.48670749 0.04180715],[0.11778886 0.06559524 0.20619065 0.00136914],0.0,[0.35427551 0.26554688 0.40796334 0.00140637],[0.75046807 0.56506452 0.85927527 0.00613379]
User,Ideal,Split,1.0,0.5,0.3,[0.1187687  0.06862473 0.20876911 0.00579093],[9.99404737e-01 9.98411872e-01 1.00000000e+00 1.79601642e-07],0.0,[-0.88063604 -0.92979656 -0.78999437  0.00139637],[ -8.19419893 -13.54914485  -3.78405944   7.06588938]
User,Random,Split,1.0,0.5,0.3,[0.11578079 0.06337405 0.19958861 0.00534886],[4.71977847e-01 4.56916100e-01 4.87150654e-01 5.85722830e-05],0.0,[-0.35619705 -0.41007159 -0.27078658  0.00139777],[-3.46564651 -6.40455378 -1.34262663  1.74381938]
User,Item,Split,1.0,0.5,0.3,[0.11712049 0.06323333 0.20102789 0.00544122],[0.36561755 0.2785     0.44889216 0.00200016],0.0,[-0.24849706 -0.3582575  -0.116       0.00388806],[-2.44295964 -5.11324341 -0.60581428  1.43839053]
Item,Ideal,Cluster,1.0,0.49,0.3,[0.90299138 0.79731361 0.96417914 0.15146873],[0.99941989 0.99832121 1.         0.18721811],0.4233874197181927,[-0.09642851 -0.18716445 -0.03946474  0.00494872],[-0.1099427  -0.25390116 -0.03647793  0.00371519]
Item,Random,Cluster,1.0,0.51,0.3,[0.50102275 0.41506678 0.58436908 0.05048686],[0.4722     0.45795126 0.48652837 0.04191419],0.3652999495279769,[ 0.02882275 -0.04401998  0.09624036  0.00259718],[ 0.05053544 -0.13645829  0.18576377  0.0070159 ]
Item,User,Cluster,1.0,0.48,0.3,[0.41692677 0.33178202 0.49477089 0.03553626],[0.30258234 0.19027693 0.41014812 0.02303182],0.4646886784910454,[0.11434442 0.02882662 0.20857753 0.00661961],[0.2721956  0.03243475 0.52138897 0.01658561]
