algo1,algo2,method,gamma_pref,treatment_percentage,cluster_shuffle_percentage,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
User,Ideal,Naive,1.0,0.5,0.1,[0.81706939 0.55957056 0.93356532 0.12950093],[0.99940446 0.99837963 1.         0.18722345],0.0,[-0.18233507 -0.43912038 -0.0662166   0.00934028],[-0.24595247 -0.78474534 -0.07092873  0.04049165]
User,Random,Naive,1.0,0.5,0.1,[0.12074685 0.08577705 0.17756165 0.0041463 ],[0.4722172  0.45798424 0.48683441 0.04193719],0.0,[-0.35147035 -0.39056203 -0.29128611  0.00061918],[-3.04618615 -4.53376938 -1.65890611  0.53425049]
User,Item,Naive,1.0,0.5,0.1,[0.32756457 0.21539464 0.44168009 0.02659902],[0.4124702  0.33095121 0.49087609 0.03493678],0.0,[-0.08490563 -0.18895208  0.01620602  0.00277973],[-0.29030574 -0.79629075  0.04071511  0.04843584]
Item,Ideal,Split,1.0,0.5,0.1,[0.36513136 0.27306973 0.44883987 0.02848268],[9.99422068e-01 9.98444444e-01 1.00000000e+00 1.84282005e-07],0.0,[-0.63429071 -0.72634823 -0.55001233  0.00195735],[-1.78011149 -2.66116207 -1.22549101  0.13025734]
Item,Random,Split,1.0,0.5,0.1,[0.36739538 0.28030593 0.45464096 0.02911489],[4.72411364e-01 4.56859305e-01 4.88000855e-01 5.78318391e-05],0.0,[-0.10501598 -0.19372972 -0.0153229   0.00207241],[-0.30589075 -0.70116148 -0.03397397  0.02835435]
Item,User,Split,1.0,0.5,0.1,[0.36273702 0.2777551  0.44520158 0.02806195],[0.11592198 0.0653924  0.20208108 0.00129844],0.0,[0.24681505 0.11141559 0.35858214 0.00378402],[0.67322525 0.37765407 0.83480796 0.01389109]
Ideal,Item,Split,1.0,0.5,0.1,[0.99939232 0.99838373 1.         0.18722244],[0.36430091 0.28028848 0.44915123 0.0019044 ],0.0,[0.6350914  0.55040849 0.71906102 0.00190313],[0.63547824 0.55052445 0.71952661 0.00190617]
Ideal,Random,Split,1.0,0.5,0.1,[0.99941311 0.99850427 1.         0.18724005],[4.72077890e-01 4.56943736e-01 4.88022876e-01 5.96657959e-05],0.0,[5.27335220e-01 5.11524276e-01 5.42669148e-01 6.01535396e-05],[5.27644650e-01 5.11750565e-01 5.42931778e-01 5.99187593e-05]
Ideal,User,Split,1.0,0.5,0.1,[0.99944012 0.99853179 1.         0.18724685],[0.11444567 0.06538131 0.19937081 0.00122723],0.0,[0.88499445 0.79998887 0.9341673  0.0012277 ],[0.88549005 0.80050054 0.93458916 0.0012286 ]
Random,Item,Split,1.0,0.5,0.1,[0.47191485 0.45827145 0.48624717 0.04189543],[0.36357165 0.27821995 0.44934817 0.00196892],0.0,[0.10834321 0.01656627 0.192155   0.00201351],[0.2294145  0.03537853 0.40583117 0.00897023]
