algo1,algo2,method,gamma_pref,treatment_percentage,Unnamed: 0,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
Random,Ideal,Naive,7.0,0.5,271,[0.44288259 0.42571986 0.46004393],[0.99629954 0.99408901 0.99819179],0.4841682849363473,[-5.53416950e-01 -5.70329700e-01 -5.35640820e-01  7.83084129e-05],[-1.25042464 -1.33933518 -1.16305626  0.00192667]
Random,User,Naive,7.0,0.5,272,[0.44318211 0.42649573 0.4597886 ],[0.49396742 0.39788653 0.58656019],0.4541097248832845,[-0.05078531 -0.14587393  0.04738708  0.00243062],[-0.11513146 -0.33043253  0.10426512  0.0131655 ]
User,Ideal,Naive,7.0,0.5,273,[0.88577273 0.80297043 0.93447751],[0.99636416 0.9942298  0.99814891],0.4887867215636315,[-0.11059144 -0.19433878 -0.06166144  0.00114557],[-0.1266638  -0.24203347 -0.06610725  0.00217005]
User,Random,Naive,7.0,0.5,274,[0.49428119 0.39349398 0.58082021],[0.44277625 0.42522706 0.46049663],0.4536980477466257,[ 0.05150494 -0.05281144  0.14301846  0.00249566],[ 0.09511032 -0.13628064  0.2462653   0.00908079]
User,Item,Naive,7.0,0.5,275,[0.64630333 0.56013922 0.71681667],[0.6944333  0.64585676 0.73877147],0.4954075824442221,[-0.04812997 -0.14338891  0.04240366  0.00224639],[-0.07862601 -0.25384434  0.0603429   0.0061346 ]
Item,Ideal,Split,7.0,0.5,276,[0.58772164 0.52641799 0.64252293],[0.9963516  0.99411731 0.99811321],0.0,[-0.40862997 -0.4701076  -0.35276653  0.00089604],[-0.69975669 -0.89240062 -0.54740461  0.0077301 ]
Item,Random,Split,7.0,0.5,277,[0.58853876 0.5322274  0.64028274],[0.44304372 0.42466088 0.45909323],0.0,[0.14549505 0.08601639 0.20271864 0.00088631],[0.2454691  0.16252866 0.31894752 0.00154748]
Item,User,Split,7.0,0.5,278,[0.58881716 0.52994758 0.6431319 ],[0.34859168 0.23908317 0.44130507],0.0,[0.24022548 0.12193595 0.36594324 0.00387466],[0.40616024 0.22213168 0.60537246 0.00977379]
Ideal,Item,Split,7.0,0.5,279,[0.99633578 0.99423032 0.99818182],[0.58881178 0.53098459 0.64178405],0.0,[0.407524   0.35487903 0.46471881 0.00078514],[0.4090241  0.35576849 0.46672343 0.00085384]
Ideal,Random,Split,7.0,0.5,280,[0.99638123 0.99421271 0.99814909],[0.44274936 0.42666551 0.46020711],0.0,[5.53631870e-01 5.36221580e-01 5.69783690e-01 7.33037815e-05],[5.55641271e-01 5.38293026e-01 5.71813715e-01 7.26876450e-05]
Ideal,User,Split,7.0,0.5,281,[0.9963387  0.99423827 0.99811408],[0.34704899 0.23573376 0.45191766],0.0,[0.64928971 0.54521881 0.76062225 0.00301949],[0.65168302 0.54641262 0.76330344 0.00293976]
