algo1,algo2,method,gamma_pref,treatment_percentage,Unnamed: 0,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
Item,Ideal,User-corpus,50.0,0.5,352,[0.35563326 0.2960282  0.41289632],[0.66451783 0.63500824 0.69161008],0.0,[-0.30888457 -0.37517909 -0.24822473  0.00104025],[-0.88096867 -1.25484816 -0.61308403  0.0262844 ]
Item,Random,User-corpus,50.0,0.5,353,[0.35563326 0.2960282  0.41289632],[0.3152545  0.29465507 0.33586336],0.0,[ 0.04037876 -0.022272    0.0996105   0.00093385],[ 0.107633   -0.07321078  0.2482483   0.00647764]
Item,User,User-corpus,50.0,0.5,354,[0.35563326 0.2960282  0.41289632],[0.19233985 0.15207377 0.23889493],0.0,[0.16329341 0.08665945 0.23192719 0.001448  ],[0.45499335 0.28174878 0.59356082 0.00679287]
Ideal,Item,User-corpus,50.0,0.5,355,[0.66550519 0.63710513 0.69484127],[0.35378043 0.2950968  0.40771895],0.0,[0.31172476 0.24872795 0.37736026 0.00108214],[0.46806382 0.38044681 0.55445199 0.00202097]
Ideal,Random,User-corpus,50.0,0.5,356,[0.66550519 0.63710513 0.69484127],[0.3152545  0.29465507 0.33586336],0.0,[3.50250691e-01 3.10959432e-01 3.86112900e-01 3.76453059e-04],[5.26010836e-01 4.86523149e-01 5.62181105e-01 4.12323072e-04]
Ideal,User,User-corpus,50.0,0.5,357,[0.66550519 0.63710513 0.69484127],[0.19233985 0.15207377 0.23889493],0.0,[0.47316535 0.41505975 0.52287753 0.00079467],[0.71076276 0.63759733 0.77209805 0.00121955]
Random,Item,User-corpus,50.0,0.5,358,[0.31559578 0.29643413 0.3349802 ],[0.35378043 0.2950968  0.40771895],0.0,[-0.03818465 -0.09674635  0.02822234  0.00093293],[-0.12230995 -0.311411    0.08813251  0.00965931]
Random,Ideal,User-corpus,50.0,0.5,359,[0.31559578 0.29643413 0.3349802 ],[0.66451783 0.63500824 0.69161008],0.0,[-3.48922046e-01 -3.81866509e-01 -3.12786357e-01  3.44761823e-04],[-1.10789404 -1.27235743 -0.94600245  0.00729918]
Random,User,User-corpus,50.0,0.5,360,[0.31559578 0.29643413 0.3349802 ],[0.19233985 0.15207377 0.23889493],0.0,[0.12325594 0.07005169 0.17131026 0.00069044],[0.38947721 0.22955868 0.52609987 0.00597269]
User,Ideal,User-corpus,50.0,0.5,361,[0.19230516 0.15533769 0.23877614],[0.66451783 0.63500824 0.69161008],0.0,[-0.47221266 -0.52372367 -0.42001265  0.0006994 ],[-2.49704242 -3.30608359 -1.76828306  0.15435957]
User,Random,User-corpus,50.0,0.5,362,[0.19230516 0.15533769 0.23877614],[0.3152545  0.29465507 0.33586336],0.0,[-0.12294934 -0.17032972 -0.06896049  0.00064982],[-0.66001345 -1.08385484 -0.29203556  0.03982944]
User,Item,User-corpus,50.0,0.5,363,[0.19230516 0.15533769 0.23877614],[0.35378043 0.2950968  0.40771895],0.0,[-0.16147527 -0.22948496 -0.08578718  0.00134372],[-0.86286291 -1.36642763 -0.38390526  0.06831972]
Item,Item,Ref,5.0,0.0,364,[0.65006605 0.5902431  0.70142174],[0.64931123 0.58243728 0.70666782],0.0,[ 0.00075483 -0.0677746   0.07308811  0.00129128],[-0.00031138 -0.10797134  0.1078337   0.00328446]
User,User,Ref,5.0,0.0,365,[0.22996616 0.14639231 0.33889423],[0.22783185 0.14528017 0.33821938],0.0,[ 0.00213432 -0.06199634  0.06910028  0.00111844],[ 0.00062496 -0.28918093  0.24144787  0.0190231 ]
Random,Random,Ref,5.0,0.0,366,[0.46036865 0.44469704 0.47672969],[0.46008812 0.4437464  0.47596385],0.0,[ 0.00028054 -0.02522969  0.02687235  0.00017666],[ 0.00021083 -0.05584219  0.05681986  0.00079293]
Ideal,Ideal,Ref,5.0,0.0,367,[0.99766397 0.99595795 0.99922481],[0.9976577  0.99589289 0.99909297],0.0,[ 6.27766244e-06 -2.53759820e-03  2.68841128e-03  1.77733074e-06],[ 5.40589096e-06 -2.54767911e-03  2.69191808e-03  1.75953166e-06]
Item,Ideal,Naive,5.0,0.5,368,[0.95652913 0.92109857 0.9755582 ],[0.99761373 0.99575725 0.99907455],0.4943833742048683,[-0.0410846  -0.07647255 -0.02173958  0.00019495],[-0.0431373  -0.08306534 -0.02230177  0.00019902]
Item,Random,Naive,5.0,0.5,369,[0.76770405 0.7089626  0.8208385 ],[0.45968028 0.44312856 0.4758177 ],0.459826159941911,[0.30802378 0.24253545 0.36342089 0.00095099],[0.40034153 0.34271024 0.44480122 0.00068136]
Item,User,Naive,5.0,0.5,370,[0.62503556 0.55755494 0.6807904 ],[0.56505299 0.46281531 0.65650223],0.4960117503666227,[ 0.05998257 -0.03851071  0.16256662  0.0026312 ],[ 0.09481547 -0.06593813  0.25944602  0.00661522]
Ideal,Item,Naive,5.0,0.5,371,[0.99762812 0.99580204 0.99903433],[0.95614828 0.91964444 0.97557639],0.4926519904616128,[0.04147984 0.02155538 0.07823889 0.00020909],[0.04157631 0.02163384 0.07839568 0.0001773 ]
Ideal,Random,Naive,5.0,0.5,372,[0.99761788 0.99583333 0.99907455],[0.45959285 0.44318658 0.47481481],0.4796275516422622,[5.3802503e-01 5.2249040e-01 5.5417964e-01 6.5350891e-05],[5.39308415e-01 5.24029364e-01 5.55712091e-01 6.84906880e-05]
Ideal,User,Naive,5.0,0.5,373,[0.99768563 0.99599899 0.99905437],[0.8756542  0.75654888 0.93530912],0.4807848200812027,[0.12203143 0.06202703 0.24141008 0.00209407],[0.12231124 0.06212742 0.24188404 0.00207325]
Random,Item,Naive,5.0,0.5,374,[0.46022856 0.44464141 0.47556557],[0.76823573 0.70573951 0.82632606],0.4599808950999771,[-0.30800717 -0.36762501 -0.24175813  0.00103098],[-0.66983391 -0.80989605 -0.51705289  0.00524357]
Random,Ideal,Naive,5.0,0.5,375,[0.46007477 0.44390377 0.47685232],[0.99763673 0.9957765  0.99916345],0.4791477102349388,[-5.37561970e-01 -5.54199260e-01 -5.20472340e-01  7.40254798e-05],[-1.16915585 -1.24862018 -1.09106917  0.00160816]
Random,User,Naive,5.0,0.5,376,[0.46008857 0.44488345 0.47644633],[0.32091585 0.21985858 0.43605093],0.4399945855277841,[0.13917272 0.02213713 0.23979659 0.00308307],[0.30224472 0.04816138 0.52772487 0.01461368]
User,Ideal,Naive,5.0,0.5,377,[0.87249529 0.73802331 0.93333951],[0.997689   0.99580247 0.99911111],0.4811997558861204,[-0.12519371 -0.25872322 -0.06372796  0.00247443],[-0.14739255 -0.35056242 -0.06826442  0.00508615]
User,Random,Naive,5.0,0.5,378,[0.32015673 0.2121732  0.42498467],[0.45977582 0.4437037  0.47631073],0.4394450789320293,[-0.13961909 -0.24831731 -0.03384565  0.00299342],[-0.48140915 -1.15913571 -0.0816471   0.07471358]
User,Item,Naive,5.0,0.5,379,[0.56427479 0.45446681 0.65733856],[0.62479002 0.55767361 0.68244855],0.4935481554911892,[-0.06051523 -0.17127426  0.03559014  0.00278483],[-0.11554642 -0.36253658  0.05541878  0.01165048]
Item,Ideal,Split,5.0,0.5,380,[0.54210501 0.4730755  0.60720831],[0.99766222 0.99585989 0.99905877],0.0,[-0.45555721 -0.52372334 -0.39072074  0.00115119],[-0.84823653 -1.10791527 -0.64369508  0.01500938]
Item,Random,Split,5.0,0.5,381,[0.5444582  0.47240912 0.60656911],[0.45987925 0.44245848 0.47702788],0.0,[0.08457895 0.00927005 0.14710715 0.0012364 ],[0.15188057 0.01941496 0.24457115 0.00320187]
Item,User,Split,5.0,0.5,382,[0.5436451  0.47098475 0.60477063],[0.2566288  0.14878458 0.37905757],0.0,[0.28701629 0.14067121 0.4291017  0.0054139 ],[0.52494716 0.28408324 0.7384294  0.01408522]
Ideal,Item,Split,5.0,0.5,383,[0.99768789 0.99591753 0.99920635],[0.54285468 0.46798721 0.60536414],0.0,[0.45483321 0.39159354 0.52867145 0.00122282],[0.4558906  0.39316868 0.53048843 0.00122477]
Ideal,Random,Split,5.0,0.5,384,[0.99770264 0.99607843 0.99897119],[0.45957737 0.44465278 0.47616498],0.0,[5.38125270e-01 5.20869250e-01 5.53401990e-01 6.88761956e-05],[5.39363336e-01 5.22303209e-01 5.54643862e-01 6.87230706e-05]
Ideal,User,Split,5.0,0.5,385,[0.99769212 0.99589302 0.99905437],[0.25499633 0.14757548 0.37139611],0.0,[0.74269579 0.62627167 0.84941893 0.00324049],[0.7444208  0.62797771 0.85194271 0.00328814]
Random,Item,Split,5.0,0.5,386,[0.46026201 0.44468519 0.47685363],[0.5435915  0.47060494 0.60546984],0.0,[-0.08332949 -0.1448064  -0.01090075  0.00116688],[-0.18125024 -0.31784997 -0.02307225  0.00566245]
Random,Ideal,Split,5.0,0.5,387,[0.46004437 0.44380945 0.47561105],[0.99763301 0.99563492 0.99914583],0.0,[-5.37588640e-01 -5.53934670e-01 -5.21690470e-01  6.76598575e-05],[-1.16923284 -1.24770469 -1.09688672  0.00148003]
Random,User,Split,5.0,0.5,388,[0.46006441 0.44415657 0.47567216],[0.25164385 0.14677579 0.36315559],0.0,[0.20842057 0.09769542 0.31293886 0.003015  ],[0.45315702 0.2115593  0.6798173  0.01519235]
User,Ideal,Split,5.0,0.5,389,[0.25439423 0.15615278 0.36648038],[0.99764847 0.99581048 0.99911111],0.0,[-0.74325423 -0.84166591 -0.63053945  0.00290077],[-3.12979129 -5.38602919 -1.72118835  0.97535373]
User,Random,Split,5.0,0.5,390,[0.25747473 0.14986854 0.36422781],[0.46023323 0.44347571 0.47541405],0.0,[-0.2027585  -0.31348063 -0.09376071  0.00314171],[-0.88745746 -2.0711333  -0.26142619  0.22558819]
User,Item,Split,5.0,0.5,391,[0.25350935 0.14913066 0.37202099],[0.54376399 0.46345395 0.60753766],0.0,[-0.29025464 -0.42434936 -0.15493553  0.00472354],[-1.27555831 -2.80317392 -0.41855082  0.38562376]
Item,Ideal,Cluster,5.0,0.6,392,[0.78143876 0.7089366  0.8623117 ],[0.99758795 0.99513847 0.9994152 ],0.263623195530876,[-0.2161492  -0.27820913 -0.14839256  0.0010967 ],[-0.28007014 -0.40834533 -0.15857342  0.00443582]
Item,Random,Cluster,5.0,0.55,393,[0.70234711 0.63518246 0.75828371],[0.45983457 0.44050887 0.47832196],0.3093389580524207,[0.24251254 0.18508215 0.29482943 0.00078382],[0.34387985 0.27006583 0.39911344 0.00112584]
Item,User,Cluster,5.0,0.6,394,[0.6269095  0.55520957 0.68974401],[0.43825304 0.31301123 0.55792565],0.3864871422654342,[0.18865645 0.07366293 0.30307169 0.0034249 ],[0.29878318 0.10014352 0.4928591  0.01115653]
Ideal,Item,Cluster,5.0,0.52,395,[0.99762082 0.99523719 0.99944511],[0.78286938 0.70542963 0.87248088],0.2698411371636545,[0.21475143 0.14097774 0.27918054 0.00124297],[0.21526471 0.12573424 0.29286494 0.0018118 ]
Ideal,Random,Cluster,5.0,0.54,396,[0.99760031 0.99511059 0.99945366],[0.4600547  0.44016369 0.47970698],0.300972667559323,[5.37545600e-01 5.20173510e-01 5.55231950e-01 7.99858272e-05],[5.38834867e-01 5.18778738e-01 5.59124791e-01 1.05660193e-04]
Ideal,User,Cluster,5.0,0.57,397,[0.99762648 0.995      0.99944444],[0.57088021 0.37528071 0.74959479],0.3628159501964417,[0.42674626 0.26861266 0.58609407 0.00655941],[0.42775536 0.24924723 0.62364863 0.0086038 ]
Random,Item,Cluster,5.0,0.45,398,[0.46025418 0.44042396 0.47852149],[0.70433665 0.63207172 0.76458037],0.3126544932856559,[-0.24408247 -0.29571686 -0.18402376  0.00081186],[-0.53086101 -0.67192154 -0.37382867  0.00564296]
Random,Ideal,Cluster,5.0,0.43,399,[0.45985733 0.43901198 0.47875276],[0.99759593 0.99513847 0.99936088],0.3032225279190182,[-5.37738600e-01 -5.55611910e-01 -5.20794340e-01  7.88905131e-05],[-1.17041989 -1.27305437 -1.08389457  0.00234692]
Random,User,Cluster,5.0,0.46,400,[0.46018708 0.44045406 0.478995  ],[0.31000282 0.1865212  0.44051949],0.3145548509224334,[0.15018426 0.03935309 0.26057076 0.00318469],[0.32650682 0.04212226 0.59444226 0.02163473]
User,Ideal,Cluster,5.0,0.45,401,[0.56540384 0.35654142 0.74238095],[0.9976046  0.99520571 0.99933333],0.3616924368970683,[-0.43220076 -0.60193207 -0.28317267  0.00661232],[-0.82642891 -1.79682813 -0.34489883  0.14049965]
User,Random,Cluster,5.0,0.47,402,[0.31016978 0.18301951 0.43810027],[0.45961453 0.43837662 0.47933006],0.3160210043625466,[-0.14944475 -0.26066395 -0.03660983  0.00326688],[-0.5602185  -1.50498918 -0.05109154  0.13928799]
User,Item,Cluster,5.0,0.51,403,[0.44654862 0.32501919 0.56624011],[0.62856764 0.5507869  0.69017778],0.3868974448299749,[-0.18201902 -0.29668013 -0.06636979  0.00345187],[-0.4360153  -0.91242985 -0.08642814  0.05038576]
Item,Ideal,User-corpus,5.0,0.5,404,[0.41359228 0.35703401 0.46920357],[0.94862507 0.93310185 0.96296667],0.0,[-0.5350328  -0.59266193 -0.47766637  0.00087439],[-1.30497292 -1.65099355 -1.02227354  0.02688886]
Item,Random,User-corpus,5.0,0.5,405,[0.41359228 0.35703401 0.46920357],[0.39582357 0.37595163 0.41355556],0.0,[ 0.0177687  -0.0410549   0.07587208  0.00094667],[ 0.03814623 -0.11563641  0.16393111  0.00532412]
Item,User,User-corpus,5.0,0.5,406,[0.41359228 0.35703401 0.46920357],[0.14160229 0.08364641 0.21570084],0.0,[0.27198999 0.16853471 0.36029359 0.00242529],[0.65502666 0.4425926  0.80520979 0.00889703]
Ideal,Item,User-corpus,5.0,0.5,407,[0.94924908 0.93475988 0.96375992],[0.41306897 0.35688889 0.47569232],0.0,[0.53618011 0.47092489 0.59659035 0.00096749],[0.56482014 0.49706879 0.62588737 0.00102416]
Ideal,Random,User-corpus,5.0,0.5,408,[0.94924908 0.93475988 0.96375992],[0.39582357 0.37595163 0.41355556],0.0,[5.53425505e-01 5.26043469e-01 5.81393992e-01 1.98526060e-04],[5.82959647e-01 5.61052892e-01 6.07239984e-01 1.35348574e-04]
Ideal,User,User-corpus,5.0,0.5,409,[0.94924908 0.93475988 0.96375992],[0.14160229 0.08364641 0.21570084],0.0,[0.80764679 0.7328602  0.86920001 0.00130256],[0.85084045 0.77194046 0.91224549 0.0014227 ]
Random,Item,User-corpus,5.0,0.5,410,[0.39640904 0.37720044 0.41546253],[0.41306897 0.35688889 0.47569232],0.0,[-0.01665993 -0.08675855  0.04177819  0.00101688],[-0.04271004 -0.21905941  0.1044179   0.00658091]
Random,Ideal,User-corpus,5.0,0.5,411,[0.39640904 0.37720044 0.41546253],[0.94862507 0.93310185 0.96296667],0.0,[-5.52216034e-01 -5.80521664e-01 -5.22369691e-01  2.17413828e-04],[-1.39476033 -1.53146006 -1.26171893  0.00492809]
Random,User,User-corpus,5.0,0.5,412,[0.39640904 0.37720044 0.41546253],[0.14160229 0.08364641 0.21570084],0.0,[0.25480675 0.17790211 0.31911866 0.00138811],[0.6425529  0.45822199 0.79299724 0.00828116]
User,Ideal,User-corpus,5.0,0.5,413,[0.14040736 0.08138975 0.21493822],[0.94862507 0.93310185 0.96296667],0.0,[-0.80821771 -0.86812636 -0.73319804  0.00126763],[ -6.21306922 -10.65782263  -3.42607029   3.64260637]
User,Random,User-corpus,5.0,0.5,414,[0.14040736 0.08138975 0.21493822],[0.39582357 0.37595163 0.41355556],0.0,[-0.25541621 -0.31865535 -0.1767376   0.00136768],[-2.01081396 -3.91052068 -0.8296609   0.6476818 ]
User,Item,User-corpus,5.0,0.5,415,[0.14040736 0.08138975 0.21493822],[0.41306897 0.35688889 0.47569232],0.0,[-0.27266161 -0.36783147 -0.17471905  0.0024877 ],[-2.15118996 -4.41363567 -0.86600043  0.82634742]
Item,Item,Ref,10.0,0.0,416,[0.66906161 0.62582016 0.71132957],[0.6684121  0.62809378 0.70740741],0.0,[ 0.00064951 -0.0683477   0.06294964  0.00112186],[-0.00040152 -0.10949719  0.09010093  0.00260663]
User,User,Ref,10.0,0.0,417,[0.49120614 0.42454774 0.56075589],[0.49288313 0.42522204 0.56016122],0.0,[-0.00167699 -0.09941718  0.0986332   0.00255258],[-0.0090151  -0.22421619  0.18718933  0.01127764]
Random,Random,Ref,10.0,0.0,418,[0.41624539 0.39998911 0.43296006],[0.41513042 0.39851768 0.43024218],0.0,[ 0.00111497 -0.02555763  0.0281753   0.00018789],[ 0.00213628 -0.06437483  0.06510363  0.00107107]
Ideal,Ideal,Ref,10.0,0.0,419,[0.99412851 0.99142278 0.99642857],[0.99410334 0.99145299 0.99652816],0.0,[ 2.51700504e-05 -3.82325832e-03  3.84302349e-03  3.82470044e-06],[ 2.32879107e-05 -3.85566619e-03  3.85968650e-03  3.94502232e-06]
Item,Ideal,Naive,10.0,0.5,420,[0.96194779 0.93331093 0.9769459 ],[0.99401854 0.99123843 0.9962963 ],0.4981807509386414,[-0.03207075 -0.06135805 -0.01687897  0.00012875],[-0.03348977 -0.06595814 -0.01729096  0.00016317]
Item,Random,Naive,10.0,0.5,421,[0.87842434 0.83219113 0.91667298],[0.41513062 0.39854883 0.43244729],0.487207522985341,[0.46329372 0.41217431 0.50516509 0.00056274],[5.27097449e-01 4.93050448e-01 5.54281865e-01 2.54477567e-04]
Item,User,Naive,10.0,0.5,422,[0.70259527 0.6635751  0.74209722],[0.65436111 0.59181986 0.70671422],0.4991167336803622,[ 0.04823416 -0.02962256  0.12853936  0.00162791],[ 0.06748771 -0.04411094  0.17738117  0.00320107]
Ideal,Item,Naive,10.0,0.5,423,[0.99403246 0.9912037  0.99638988],[0.96207666 0.93574047 0.97638889],0.4957959701556435,[0.0319558  0.01694436 0.05838724 0.00011177],[0.03214366 0.01708348 0.0587328  0.00011781]
Ideal,Random,Naive,10.0,0.5,424,[0.99407781 0.99145299 0.99629819],[0.41482582 0.39716306 0.43111565],0.4861595608170291,[5.79251990e-01 5.62398970e-01 5.97570190e-01 8.05012701e-05],[5.82700994e-01 5.66105934e-01 6.00929588e-01 7.85812952e-05]
Ideal,User,Naive,10.0,0.5,425,[0.99410226 0.99160391 0.99642201],[0.89329568 0.8213028  0.93666975],0.4963032345866805,[0.10080658 0.05762401 0.17272794 0.0008622 ],[0.10140274 0.05809591 0.17376518 0.0009011 ]
Random,Item,Naive,10.0,0.5,426,[0.4155804  0.39915461 0.43218006],[0.87997082 0.83663099 0.91655142],0.4873727563476355,[-0.46439042 -0.50783747 -0.40974994  0.00062612],[-1.11854538 -1.25640115 -0.95906992  0.00527038]
Random,Ideal,Naive,10.0,0.5,427,[0.41531572 0.39894823 0.4326255 ],[0.9941131  0.99148895 0.99651416],0.4856357563944539,[-5.7879738e-01 -5.9475172e-01 -5.6104558e-01  7.3934290e-05],[-1.39466188 -1.49152015 -1.29811838  0.00249586]
Random,User,Naive,10.0,0.5,428,[0.4157496  0.39777457 0.43261499],[0.65183016 0.58487572 0.71315327],0.4766696910112346,[-0.23608056 -0.30257147 -0.16581282  0.00121713],[-0.56881414 -0.74502755 -0.3909552   0.00834089]
User,Ideal,Naive,10.0,0.5,429,[0.89356507 0.83101688 0.93777896],[0.99415091 0.99142215 0.99644444],0.4968046554930221,[-0.10058584 -0.16243542 -0.05612407  0.00073551],[-0.11366053 -0.19542028 -0.05975018  0.0012508 ]
User,Random,Naive,10.0,0.5,430,[0.65086215 0.58194177 0.71134123],[0.41521606 0.39848304 0.43232534],0.4760911406506311,[0.23564609 0.16461523 0.30115228 0.00121319],[0.36030693 0.28168867 0.42493447 0.00136839]
User,Item,Naive,10.0,0.5,431,[0.65275725 0.5891061  0.70441115],[0.70319465 0.65992579 0.74618345],0.4976321608142473,[-0.0504374  -0.13361131  0.02784003  0.00169633],[-0.08003309 -0.22240848  0.04002877  0.00469827]
Item,Ideal,Split,10.0,0.5,432,[0.57809944 0.52776891 0.62651689],[0.99412956 0.99125296 0.99659864],0.0,[-0.41603012 -0.4652904  -0.36788292  0.00061747],[-0.72307724 -0.88029714 -0.58741466  0.00596816]
Item,Random,Split,10.0,0.5,433,[0.57904325 0.52675617 0.62655271],[0.41548387 0.39722222 0.43159172],0.0,[0.16355938 0.11211059 0.21793649 0.00072881],[0.28107175 0.21042345 0.3490046  0.00125347]
Item,User,Split,10.0,0.5,434,[0.57998289 0.52751015 0.63025327],[0.43622724 0.35265097 0.50857799],0.0,[0.14375565 0.04869484 0.24946244 0.0026231 ],[0.24608328 0.09281168 0.40996368 0.00639461]
Ideal,Item,Split,10.0,0.5,435,[0.99410191 0.99154561 0.99664682],[0.57858675 0.52666239 0.62897694],0.0,[0.41551517 0.36625953 0.46775542 0.00067039],[0.41797926 0.36786928 0.47033178 0.00067612]
Ideal,Random,Split,10.0,0.5,436,[0.99413759 0.99171977 0.99646465],[0.41522679 0.39824412 0.43308715],0.0,[5.78910800e-01 5.60396190e-01 5.96459320e-01 8.46359164e-05],[5.82322494e-01 5.64000850e-01 5.99791275e-01 7.77899769e-05]
Ideal,User,Split,10.0,0.5,437,[0.99406408 0.99138322 0.99629789],[0.43499126 0.35503576 0.50914291],0.0,[0.55907282 0.48596504 0.64042327 0.00155257],[0.56241348 0.48771363 0.64336933 0.00161143]
Random,Item,Split,10.0,0.5,438,[0.41578189 0.39923109 0.43385323],[0.5797453  0.52960749 0.62708467],0.0,[-0.16396341 -0.21413547 -0.10866278  0.00072395],[-0.39497685 -0.52682499 -0.25885299  0.00451127]
Random,Ideal,Split,10.0,0.5,439,[0.41562547 0.39906944 0.43133333],[0.9940764  0.99111012 0.99658213],0.0,[-5.78450930e-01 -5.96050470e-01 -5.62479290e-01  7.33434068e-05],[-1.39277453 -1.49238385 -1.30638994  0.00246312]
Random,User,Split,10.0,0.5,440,[0.41527947 0.39824402 0.43061374],[0.43191596 0.34101852 0.50837443],0.0,[-0.01663649 -0.09256505  0.07268185  0.00177703],[-0.04030419 -0.2259518   0.17691157  0.00998699]
User,Ideal,Split,10.0,0.5,441,[0.43565814 0.35597222 0.51064699],[0.99410939 0.99155556 0.99638243],0.0,[-0.55845125 -0.63812813 -0.48304623  0.00156513],[-1.30230666 -1.79044329 -0.94380603  0.04979359]
User,Random,Split,10.0,0.5,442,[0.43597906 0.35511529 0.50838207],[0.41600041 0.39910939 0.43263027],0.0,[ 0.01997866 -0.05992395  0.09211718  0.00150435],[ 0.03774403 -0.16917341  0.18202488  0.00831645]
User,Item,Split,10.0,0.5,443,[0.43642227 0.34727942 0.50762284],[0.57936647 0.52862376 0.62732845],0.0,[-0.1429442  -0.24637419 -0.05020109  0.00250442],[-0.34015999 -0.68275978 -0.10252181  0.02261705]
Item,Ideal,Cluster,10.0,0.46,444,[0.69386502 0.63887411 0.7408046 ],[0.99412743 0.99082102 0.99722377],0.1567098834177033,[-0.30026241 -0.34737565 -0.26015497  0.00049507],[-0.43487135 -0.55478196 -0.34343636  0.00308011]
Item,Random,Cluster,10.0,0.46,445,[0.7017912  0.65054722 0.74583912],[0.41609129 0.39823022 0.43424925],0.2433989403006088,[0.28569991 0.24600102 0.3224252  0.00038009],[0.40648948 0.361774   0.4471099  0.00046793]
Item,User,Cluster,10.0,0.47,446,[0.66912025 0.60875323 0.72546455],[0.54136369 0.447888   0.61966903],0.250343382140656,[0.12775655 0.03541061 0.22360113 0.00230475],[0.18890894 0.03572483 0.34186226 0.00647956]
Ideal,Item,Cluster,10.0,0.56,447,[0.99410749 0.99053434 0.9972841 ],[0.69405844 0.63991213 0.7436214 ],0.1574520737015012,[0.30004905 0.25691782 0.34808691 0.00054091],[0.30184122 0.25330747 0.3558124  0.00076466]
Ideal,Random,Cluster,10.0,0.48,448,[0.99423269 0.99050843 0.99728519],[0.41594918 0.39835149 0.43462691],0.2190166641227912,[5.78283510e-01 5.62348230e-01 5.92710680e-01 5.99931259e-05],[5.81637492e-01 5.62878671e-01 5.99148319e-01 8.51690780e-05]
Ideal,User,Cluster,10.0,0.56,449,[0.99413292 0.99070697 0.99745447],[0.5703602  0.4821317  0.64971412],0.2236268040495365,[0.42377272 0.35694282 0.49679961 0.0012729 ],[0.42628382 0.34806098 0.51476863 0.00183767]
Random,Item,Cluster,10.0,0.54,450,[0.41574272 0.39818401 0.43519057],[0.7025671  0.64860694 0.74771937],0.2443632504424458,[-0.28682438 -0.32556119 -0.24458655  0.0004267 ],[-0.69044489 -0.81274993 -0.57048137  0.00399942]
Random,Ideal,Cluster,10.0,0.5,451,[0.41563932 0.39758432 0.43333951],[0.9941749  0.99070697 0.99722222],0.2174593439616824,[-5.7853558e-01 -5.9372670e-01 -5.6308583e-01  6.1098430e-05],[-1.39311967 -1.50104552 -1.29187294  0.00289411]
Random,User,Cluster,10.0,0.53,452,[0.4156479  0.39760229 0.4350666 ],[0.54261807 0.44690394 0.62090165],0.2476539595893771,[-0.12697018 -0.19722248 -0.04177213  0.00157257],[-0.30606401 -0.50398354 -0.06287806  0.01271605]
User,Ideal,Cluster,10.0,0.53,453,[0.56936357 0.48058279 0.64537347],[0.99411425 0.99082126 0.99722377],0.2157601445676458,[-0.42475068 -0.49690377 -0.35904319  0.00123682],[-0.75618189 -1.0657793  -0.5400746   0.01885916]
User,Random,Cluster,10.0,0.47,454,[0.54201784 0.45302422 0.62319975],[0.41532132 0.39705106 0.43478689],0.2452192558541367,[0.12669653 0.05129788 0.19612609 0.001365  ],[0.22862535 0.0830027  0.33252425 0.00440121]
User,Item,Cluster,10.0,0.5,455,[0.54404412 0.44608231 0.62144592],[0.66884351 0.6111048  0.72070176],0.2528181190365347,[-0.12479938 -0.22131106 -0.03571082  0.00224174],[-0.23869798 -0.54646343 -0.03192295  0.01599901]
Item,Ideal,User-corpus,10.0,0.5,456,[0.4388479  0.36827178 0.50249105],[0.87028659 0.84647646 0.89362104],0.0,[-0.43143869 -0.50402174 -0.35666127  0.0014057 ],[-0.9956493  -1.367461   -0.71696756  0.02721382]
Item,Random,User-corpus,10.0,0.5,457,[0.4388479  0.36827178 0.50249105],[0.353332   0.33413232 0.37309086],0.0,[0.0855159  0.01281751 0.15678549 0.00131073],[0.18976514 0.03521148 0.31434507 0.00492764]
Item,User,User-corpus,10.0,0.5,458,[0.4388479  0.36827178 0.50249105],[0.19637476 0.13309235 0.27000439],0.0,[0.24247314 0.1351     0.33817046 0.00262754],[0.54907386 0.35633639 0.71081329 0.00843243]
Ideal,Item,User-corpus,10.0,0.5,459,[0.87131576 0.84835391 0.89373522],[0.43726528 0.36512328 0.50391709],0.0,[0.43405048 0.35837307 0.51446394 0.00150393],[0.49796387 0.41765973 0.58390059 0.00174854]
Ideal,Random,User-corpus,10.0,0.5,460,[0.87131576 0.84835391 0.89373522],[0.353332   0.33413232 0.37309086],0.0,[5.17983758e-01 4.85458407e-01 5.53899827e-01 3.27319114e-04],[5.94356010e-01 5.66986088e-01 6.21533900e-01 2.12904908e-04]
Ideal,User,User-corpus,10.0,0.5,461,[0.87131576 0.84835391 0.89373522],[0.19637476 0.13309235 0.27000439],0.0,[0.674941   0.59827528 0.74552727 0.00141871],[0.77454612 0.68884225 0.84751747 0.00163674]
Random,Item,User-corpus,10.0,0.5,462,[0.35396634 0.33541088 0.37407576],[0.43726528 0.36512328 0.50391709],0.0,[-0.08329894 -0.15188216 -0.00643027  0.00140927],[-0.23669926 -0.45142883 -0.01792487  0.01188267]
Random,Ideal,User-corpus,10.0,0.5,463,[0.35396634 0.33541088 0.37407576],[0.87028659 0.84647646 0.89362104],0.0,[-5.16320253e-01 -5.49633333e-01 -4.78527146e-01  3.30501568e-04],[-1.46098696 -1.63269259 -1.28583477  0.00770416]
